id,brand,model,color,registration_date,year,price_in_euro,power_kw,power_ps,transmission_type,fuel_type,fuel_consumption_l_100km,fuel_consumption_g_km,mileage_in_km,offer_description
44374,citroen,Citroen Berlingo,blue,04/2015,2015,18990,68,92,Manual,Diesel,"4,9 l/100 km",130 g/km,81000.0,Kombi Selection Behindertengerecht
54783,fiat,Fiat 500C,red,03/2019,2019,14950,63,86,Manual,Petrol,"4,8 l/100 km",114 g/km,44619.0,0.9 TwinAir Lounge Parkpilot|Bluetooth
95039,land-rover,Land Rover Range Rover Evoque,white,03/2018,2018,31770,132,179,Automatic,Diesel,"5,1 l/100 km",134 g/km,46372.0,2.0 Sd4 HSE Dynamic Aut.*PANO*NAVI*CAM*
81425,hyundai,Hyundai i30,white,05/2019,2019,19380,103,140,Automatic,Petrol,"5,5 l/100 km",140 g/km,55800.0,"1,4 +T 7-DCTSoEd YES! KAMERA+NAVI+Klimaautom"
50815,dacia,Dacia Sandero,silver,03/2023,2023,13880,74,101,Manual,LPG,"5,4 l/100 km",123 g/km,10.0,TCe100 ECO-G LPG  'Essential'
67101,ford,Ford Mondeo,grey,10/2018,2018,20950,132,179,Automatic,Diesel,"5,3 l/100 km",0 g/km,100000.0,Vignale LEDER*ACC*DAB*PREMIUM SOUN*KAMERA
33559,bmw,BMW 530,black,07/2015,2015,21980,190,258,Automatic,Diesel,"5,6 l/100 km",147 g/km,173536.0,d xDrive A  HeadUp SSD Standhz. Scheckheft
18522,audi,Audi Q3,orange,03/2019,2019,26980,110,150,Automatic,Petrol,,- (g/km),63700.0,"advanced 35 TFSI S tronic NAVI,LED,PHONE BOX"
44951,citroen,Citroen C4 SpaceTourer,grey,11/2018,2018,19990,110,150,Automatic,Diesel,"4,3 l/100 km",112 g/km,78486.0,Shine
10588,audi,Audi A4,black,09/2015,2015,16800,125,170,Manual,Petrol,"5,8 l/100 km",134 g/km,139000.0,Avant 1.8 TFSI S line Sportpaket
35855,bmw,BMW 320,blue,11/2017,2017,22750,140,190,Automatic,Diesel,"4,4 l/100 km",- (g/km),157000.0,320d Aut. M Sport
75057,ford,Ford Fiesta,grey,05/2023,2023,23499,74,101,Manual,Petrol,7 l/100 km,230 g/km,64.0,KLIMA +  Winterpaket +ACC + 5Türen
36627,bmw,BMW X4,black,04/2017,2017,40949,190,258,Automatic,Diesel,,0 g/km,59785.0,xDrive30dA M Sport Navi.AHK.HUD.DriveAss
83080,hyundai,Hyundai KONA,white,10/2022,2022,26499,146,199,Automatic,Petrol,"6,7 l/100 km",152 g/km,6050.0,1.6 T-GDI N Line DCT LED|Navi|KRELL|HuD
5213,audi,Audi A6,silver,07/2010,2010,7999,140,190,Automatic,Diesel,"7,6 l/100 km",202 g/km,245000.0,2.7 TDI quattro Avant
49857,dacia,Dacia Duster,grey,12/2021,2021,23990,110,150,Automatic,Petrol,,141 g/km,16700.0,"TCe 150 EDC 2WD Prestige, Garantie bis 19.12.27"
67044,ford,Ford S-Max,grey,12/2018,2018,19350,140,190,Automatic,Diesel,"5,2 l/100 km",136 g/km,100000.0,"Titanium LED+ Navi 18"" Kam DAB+ SpurhalteA"
79882,hyundai,Hyundai i30,grey,09/2018,2018,24480,202,275,Manual,Petrol,"7,1 l/100 km",163 g/km,85000.0,N Performance
74392,ford,Ford Transit Custom,black,03/2022,2022,47290,136,185,Automatic,Diesel,"6,7 l/100 km",174 g/km,17560.0,320 L1 Transit Custom Sport*Automatik*ACC*Navi*Spu
20147,audi,Audi Q2,black,03/2021,2021,24990,110,150,Automatic,Petrol,"5,1 l/100 km",118 g/km,41500.0,35TFSi - VIRTUAL - ASSISTS - LED - LEDER
81816,hyundai,Hyundai SANTA FE,white,02/2020,2020,30980,147,200,Automatic,Diesel,,0 g/km,67264.0,"2.2 CRDi 4WD Automatik Premium Geschlossen, 5-türi"
79536,hyundai,Hyundai TUCSON,white,01/2017,2017,16170,97,132,Manual,Petrol,"6,3 l/100 km",147 g/km,68058.0,blue Classic 2WD (TL)
2726,audi,Audi A6,black,05/2005,2005,7990,130,177,Manual,Petrol,10 l/100 km,237 g/km,119791.0,Lim. 2.4|Schiebedach|1.Hand|Top Zustand
14571,audi,Audi A3,blue,03/2018,2018,16699,85,116,Automatic,Diesel,"4,1 l/100 km",109 g/km,89000.0,Sportback *1.HAND*Bi-XENON*NAVI*AUTOMATIK*
24536,bmw,BMW 330,black,03/2003,2003,12990,170,231,Automatic,Petrol,"9,6 l/100 km",230 g/km,136783.0,"i Aut.LEDER NAVI XENON EL.GSHD 18""ALU"
96917,land-rover,Land Rover Range Rover Sport,red,01/2023,2023,160000,258,351,Automatic,Diesel,"7,7 l/100 km",202 g/km,1100.0,D350 First Edition
60411,ford,Ford Focus,blue,02/2012,2012,7500,70,95,Manual,Diesel,"4,5 l/100 km",- (g/km),93200.0,Focus Turnier 1.6 TDCi DPF Trend
13447,audi,Audi A3,grey,08/2017,2017,19999,110,150,Manual,Petrol,"4,5 l/100 km",105 g/km,43000.0,1.4 TFSI cylinder on demand ultra
35873,bmw,BMW 530,blue,10/2017,2017,31900,195,265,Automatic,Diesel,"4,5 l/100 km",118 g/km,54856.0,d Aut.
46892,citroen,Citroen C4,brown,06/2022,2022,28990,114,155,Automatic,Petrol,6 l/100 km,138 g/km,13950.0,PT 155 EAT8 SHINE +AHK+S/LHZ+360°PDC+HUD+LM18
9060,audi,Audi A1,black,12/2014,2014,13950,90,122,Manual,Petrol,"5,3 l/100 km",126 g/km,61450.0,1.4 TFSIAmbition Navi/PDC/Pano/Sitzh/LM16/SFW
95279,land-rover,Land Rover Range Rover Evoque,grey,07/2019,2019,52000,132,179,Automatic,Diesel Hybrid,,0 g/km,39000.0,D180 First Edition R-Dynamic
95365,land-rover,Land Rover Discovery Sport,grey,08/2019,2019,34950,132,179,Manual,Diesel,"8,1 l/100 km",211 g/km,65000.0,SD4 SE AHK DAB PANORAMA 19
17950,audi,Audi A4,silver,08/2019,2019,23950,210,286,Automatic,Diesel,6 l/100 km,159 g/km,118515.0,Avant 50 TDI qu. tiptr. XEN NAV AHK KAMERA sport
43824,citroen,Citroen Jumper,blue,03/2010,2010,5490,88,120,Manual,Diesel,"9,3 l/100 km",246 g/km,249700.0,33 L2 HDi 120 Pritsche Tüv 01-2025
4698,audi,Audi A6,blue,04/2010,2010,12890,140,190,Automatic,Diesel,"6,5 l/100 km",172 g/km,314990.0,Avant 2.7 TDI Pro Line Navigatie Cruise Control Le
15914,audi,Audi A6,silver,12/2018,2018,35660,210,286,Automatic,Diesel,7 l/100 km,184 g/km,125600.0,50TDI qua Sport S-trc Matrix Virtua
7017,audi,Audi A4,silver,11/2012,2012,12990,125,170,Automatic,Petrol,"5,7 l/100 km",135 g/km,106404.0,1.8 TFSI multitronic Limousine / APS / EU5
58715,ford,Ford Fiesta,silver,11/2007,2007,3200,51,69,Manual,Petrol,"6,1 l/100 km",- (g/km),138000.0,1.3 Fun X
55413,fiat,Fiat Tipo,black,05/2020,2020,12490,88,120,Manual,Petrol,"7,1 l/100 km",162 g/km,48500.0,"Kombi 1.4 T-Jet Lounge ""SHZ, Navi, RFKamera, Alu"""
49735,dacia,Dacia Dokker,black,11/2020,2020,11990,70,95,Manual,Diesel,"4,2 l/100 km",111 g/km,102500.0,Comfort Express Klimaanlage Trennwand Start/Stop
73297,ford,Ford Kuga,black,07/2021,2021,31540,110,150,Manual,Petrol,"5,5 l/100 km",123 g/km,20478.0,KUGA 1.5 ECOBOOST ST-LINE X NAVI LED PANO AHK LM
58770,ford,Ford Fiesta,silver,08/2007,2007,3499,44,60,Manual,Petrol,"5,9 l/100 km",140 g/km,105000.0,Style  Tüv & Service neu
41221,bmw,BMW 530,blue,04/2021,2021,44980,215,292,Automatic,Hybrid,"0,4 l/100 km",36 g/km,39962.0,e Touring Steptronic
50090,dacia,Dacia Duster,grey,07/2022,2022,22540,96,131,Manual,Petrol,"5,7 l/100 km",131 g/km,5.0,TCe 130 2WD Prestige / SHZ / 360° Kamera
82004,hyundai,Hyundai KONA,blue,04/2021,2021,25860,100,136,Automatic,Electric,,0 g/km,32800.0,Elektro ''Trend'' 2WD Rückfahrkamera Sitzheizung K
47315,citroen,Citroen C5 Aircross,blue,12/2022,2022,47062,165,224,Automatic,Hybrid,"1,6 l/100 km",32 g/km,1000.0,Hybrid 225 e-EAT8 Shine Pack
66348,ford,Ford,silver,09/2017,2017,17990,96,131,Manual,Diesel,,-/-,98000.0,"Transit Custom/Tourneo L1H1 Trend 2.0 TDCi, EU6"
59460,ford,Ford Fusion,silver,10/2009,2009,3990,74,101,Automatic,Petrol,"7,8 l/100 km",186 g/km,162600.0,Style Automatik Klima
48834,dacia,Dacia Lodgy,grey,11/2018,2018,14999,75,102,Manual,Petrol,,0 g/km,41152.0,Comfort 1hd Navi Tempo PDC SHZ Scheckheft
56640,fiat,Fiat 500,white,09/2022,2022,14750,51,69,Manual,Petrol,"4,5 l/100 km",106 g/km,5163.0,"1.0 MH Dolcevita|NAV|PDC|DAB|CarPlay|15""Alu"
72625,ford,Ford Focus,blue,01/2021,2021,16430,88,120,Automatic,Diesel,4 l/100 km,129 g/km,108295.0,Cool & Connect 1.5 EcoBlue Automatik
36163,bmw,BMW X3,grey,06/2017,2017,29550,190,258,Automatic,Diesel,"5,9 l/100 km",156 g/km,99500.0,30d xDrive X-Line LED/NAVI/PANO/360°/AHK
89321,kia,Kia Ceed SW / cee'd SW,brown,10/2018,2018,14450,73,99,Manual,Petrol,6 l/100 km,138 g/km,66700.0,1.4 CVVT Edition 7 SHZ PDCv+h Klima LM
27318,bmw,BMW 320,blue,02/2009,2009,6999,130,177,Manual,Diesel,"4,9 l/100 km",130 g/km,231000.0,320d DPF Touring
33749,bmw,BMW 530,black,05/2015,2015,23700,190,258,Automatic,Diesel,"5,3 l/100 km",140 g/km,133500.0,d Touring (F11)
27505,bmw,BMW 120,red,01/2009,2009,5450,130,177,Manual,Diesel,"5,5 l/100 km",147 g/km,258000.0,120d Bixenon PDC Langstreckenfahrzeug
55138,fiat,Fiat Doblo,white,03/2019,2019,11990,70,95,Manual,Petrol,"7,3 l/100 km",169 g/km,64436.0,"Cargo, 1. Hand, Klima"
49519,dacia,Dacia Sandero,white,05/2019,2019,14590,66,90,Manual,LPG,"5,5 l/100 km",126 g/km,60620.0,Stepway Celebration Eco-G Autogas
48900,dacia,Dacia Sandero,black,08/2018,2018,10400,66,90,Manual,Petrol,"5,5 l/100 km",130 g/km,75995.0,Stepway Celebration II
99168,mazda,Mazda CX-5,red,01/2018,2018,20933,121,165,Manual,Petrol,"6,4 l/100 km",149 g/km,63740.0,SKYACTIV-G 165 MT Exclusive-Line 2WD
97062,land-rover,Land Rover Defender,silver,03/2023,2023,129800,386,525,Automatic,Petrol,"12,8 l/100 km",290 g/km,7000.0,"110 5.0 P525 V8*HEAD-UP*BLACK PACK*22"""
20284,audi,Audi Q5,silver,08/2021,2021,66490,150,204,Automatic,Diesel,"5,3 l/100 km",140 g/km,8326.0,Sportback 40 TDI advanced quattro virtual coc
75357,ford,Ford Puma,red,05/2023,2023,31390,92,125,Automatic,Petrol,"5,8 l/100 km",130 g/km,12.0,1.0 EcoBoost MHEV ST-Line X Berry Automatik
72072,ford,Ford EcoSport,silver,08/2020,2020,20988,88,120,Manual,Diesel,"5,3 l/100 km",139 g/km,7454.0,1.5 EcoBlue ST-Line SYNC3/DAB
2608,audi,Audi A4,blue,03/2005,2005,5890,120,163,Manual,Petrol,"8,7 l/100 km",208 g/km,166500.0,Cabriolet 1.8 T**Navi**
12623,audi,Audi TT RS,white,12/2016,2016,54900,294,400,Automatic,Petrol,"8,3 l/100 km",- (g/km),41500.0,TT RS Roadster*Matrix*RS-Abgas*Magnetic*B&O*LED
88225,kia,Kia Sportage,brown,08/2015,2015,12990,85,116,Manual,Diesel,"5,3 l/100 km",139 g/km,124500.0,"1.7 CRDi 2WD Vision  AHK, EFH, Sitzhzg, SD, ALU18"""
30792,bmw,BMW 116,white,06/2012,2012,11980,100,136,Automatic,Petrol,"5,5 l/100 km",130 g/km,120000.0,i AUTOMATIK/KLIMAAUT/SITZHEIZUNG/NAVIGATION
52702,fiat,Fiat Ducato,white,11/2008,2008,8998,74,101,Manual,Diesel,"7,5 l/100 km",199 g/km,130000.0,Kasten 30 100 L1H1 2.HAND+AHK+TÜV/AU NEU
8109,audi,Audi A1,silver,03/2013,2013,13200,63,86,Manual,Petrol,"5,1 l/100 km",118 g/km,81354.0,1.2 TFSI Sportback Attraction *Bluetooth*SHZ*PDC*
23092,bentley,Bentley Continental,silver,07/2017,2017,218900,522,710,Semi-automatic,Petrol,"15,9 l/100 km",362 g/km,12500.0,GTC Supersports I BENTLEY SINGEN
42922,bmw,BMW 320,grey,05/2023,2023,62890,140,190,Automatic,Diesel,"5,7 l/100 km",150 g/km,500.0,d Sportsitze SHZ StandHZG Komfortzugang DAB Harman
28070,bmw,BMW Z4,blue,01/2010,2010,20000,225,306,Automatic,Petrol,9 l/100 km,- (g/km),158000.0,Z4 sDrive35i Aut.
7272,audi,Audi A4,blue,04/2013,2013,9000,105,143,Automatic,Diesel,"4,9 l/100 km",- (g/km),196000.0,Avant 2.0 TDI DPF multitronic Attraction
2724,audi,Audi A4,black,09/2005,2005,3350,150,204,Manual,Diesel,"7,9 l/100 km",212 g/km,263000.0,Avant 3.0 TDI quattro
85946,jeep,Jeep Renegade,black,11/2014,2014,13900,88,120,Manual,Diesel,"4,6 l/100 km",122 g/km,133712.0,Longitude FWD
60471,ford,Ford Focus,grey,04/2012,2012,3900,85,116,Manual,Diesel,"4,2 l/100 km",111 g/km,265000.0,Turnier Champions Edition
98779,mazda,Mazda CX-3,red,07/2017,2017,20930,110,150,Automatic,Petrol,,0 g/km,38890.0,Sports-Line Allrad LED Navi HUD SHZ ACC PDC
52499,ferrari,Ferrari,brown,02/2022,2022,459500,,,Automatic,Hybrid,,- (g/km),1850.0,SF90 Sonderlack BRANZINO
46952,citroen,Citroen C3 Aircross,grey,08/2022,2022,24390,96,131,Automatic,Petrol,"6,1 l/100 km",138 g/km,5000.0,1.2 130PS Automatik C-Series Rückf.Kamera LED-S...
20374,audi,Audi e-tron,silver,12/2021,2021,43840,230,313,Automatic,Electric,,276 km Reichweite,7400.0,50 quattro
75516,ford,Ford Focus,black,04/2023,2023,29980,92,125,Automatic,Hybrid,,- (g/km),1990.0,Turnier 1.0 M-Hybrid Aut. ST-LINE DESIGN
93253,kia,Kia Ceed / cee'd,white,06/2023,2023,28490,104,141,Automatic,Hybrid,"1,3 l/100 km",30 g/km,6.0,Sportswagon 1.6 GDI Plug-in Hybrid Spirit (Kurzzei
36886,bmw,BMW X1,silver,12/2017,2017,25900,140,190,Automatic,Diesel,"4,8 l/100 km",127 g/km,87227.0,"xDrive 20D xLine Aut,AHK,NavPlus,Leder,Panor"
77499,hyundai,Hyundai H-1,black,05/2011,2011,7000,125,170,Manual,Diesel,"8,5 l/100 km",225 g/km,182000.0,2.5 CRDi Travel Premium
36159,bmw,BMW 530,grey,08/2017,2017,36000,195,265,Automatic,Diesel,"5,3 l/100 km",- (g/km),64000.0,530d xDrive Aut. Sport Line
7076,audi,Audi A6,silver,03/2012,2012,10985,180,245,Automatic,Diesel,"5,9 l/100 km",156 g/km,113753.0,Avant 3.0 TDI quattro*XENON+NAVI+SHZ
25120,bmw,BMW 325,grey,04/2005,2005,6700,160,218,Automatic,Petrol,9 l/100 km,- (g/km),192000.0,325i Aut.
